filename,sigma
0001.png,7.02
0002.png,26.59
0003.png,34.31
0004.png,39.41
0005.png,41.02
0006.png,43.56
0007.png,48.47
0008.png,21.16
0009.png,49.66
0010.png,10.03
0011.png,28.83
0012.png,21.45
0013.png,30.35
0014.png,28.29
0015.png,22.21
0016.png,47.87
0017.png,25.76
0018.png,34.2
0019.png,15.17
0020.png,27.69
0021.png,38.81
0022.png,24.84
0023.png,22.03
0024.png,16.16
0025.png,33.5
0026.png,34.48
0027.png,35.05
0028.png,33.74
0029.png,42.51
0030.png,8.72
0031.png,23.01
0032.png,10.59
0033.png,28.16
0034.png,25.35
0035.png,42.66
0036.png,34.8
0037.png,39.68
0038.png,26.25
0039.png,28.86
0040.png,17.12
0041.png,6.22
0042.png,43.12
0043.png,5.27
0044.png,7.43
0045.png,44.6
0046.png,47.09
0047.png,32.84
0048.png,26.29
0049.png,21.55
0050.png,20.43
0051.png,40.7
0052.png,38.44
0053.png,11.74
0054.png,24.41
0055.png,45.04
0056.png,31.53
0057.png,22.55
0058.png,31.07
0059.png,48.38
0060.png,40.88
0061.png,6.68
0062.png,8.48
0063.png,8.1
0064.png,39.42
0065.png,28.38
0066.png,44.48
0067.png,18.91
0068.png,39.25
0069.png,36.0
0070.png,24.19
0071.png,48.55
0072.png,37.42
0073.png,21.38
0074.png,40.03
0075.png,8.98
0076.png,36.5
0077.png,47.12
0078.png,18.4
0079.png,48.29
0080.png,47.43
0081.png,22.44
0082.png,10.91
0083.png,28.12
0084.png,20.66
0085.png,42.8
0086.png,12.95
0087.png,22.46
0088.png,13.68
0089.png,25.17
0090.png,33.44
0091.png,42.83
0092.png,13.44
0093.png,36.85
0094.png,8.93
0095.png,46.72
0096.png,25.04
0097.png,9.28
0098.png,5.95
0099.png,10.26
0100.png,32.35
0101.png,45.22
0102.png,21.71
0103.png,39.17
0104.png,34.95
0105.png,47.32
0106.png,38.39
0107.png,25.06
0108.png,41.96
0109.png,46.48
0110.png,21.29
0111.png,21.52
0112.png,33.1
0113.png,5.01
0114.png,42.89
0115.png,12.94
0116.png,25.49
0117.png,26.41
0118.png,22.29
0119.png,36.93
0120.png,19.38
0121.png,11.9
0122.png,15.39
0123.png,33.96
0124.png,8.88
0125.png,28.08
0126.png,22.86
0127.png,15.7
0128.png,19.77
0129.png,20.34
0130.png,30.92
0131.png,32.59
0132.png,33.67
0133.png,11.38
0134.png,8.24
0135.png,21.03
0136.png,20.66
0137.png,5.52
0138.png,6.54
0139.png,16.47
0140.png,17.51
0141.png,8.44
0142.png,37.64
0143.png,34.98
0144.png,10.47
0145.png,12.96
0146.png,26.85
0147.png,6.69
0148.png,36.81
0149.png,26.98
0150.png,47.64
0151.png,11.06
0152.png,15.34
0153.png,6.12
0154.png,25.01
0155.png,18.56
0156.png,6.87
0157.png,33.32
0158.png,5.3
0159.png,38.74
0160.png,38.73
0161.png,36.41
0162.png,43.82
0163.png,11.75
0164.png,14.84
0165.png,16.03
0166.png,35.01
0167.png,29.22
0168.png,35.0
0169.png,48.82
0170.png,36.57
0171.png,48.51
0172.png,44.76
0173.png,40.13
0174.png,36.47
0175.png,35.7
0176.png,17.99
0177.png,18.29
0178.png,45.18
0179.png,41.75
0180.png,35.89
0181.png,22.67
0182.png,48.49
0183.png,10.09
0184.png,11.94
0185.png,31.05
0186.png,23.66
0187.png,10.06
0188.png,29.2
0189.png,38.46
0190.png,46.23
0191.png,13.79
0192.png,48.58
0193.png,40.96
0194.png,20.28
0195.png,21.87
0196.png,49.81
0197.png,44.18
0198.png,34.8
0199.png,12.44
0200.png,44.09
0201.png,10.28
0202.png,43.6
0203.png,5.51
0204.png,35.02
0205.png,40.32
0206.png,26.09
0207.png,14.92
0208.png,21.12
0209.png,12.44
0210.png,15.95
0211.png,12.56
0212.png,8.64
0213.png,45.99
0214.png,47.67
0215.png,39.33
0216.png,30.25
0217.png,16.34
0218.png,39.8
0219.png,49.13
0220.png,17.97
0221.png,19.92
0222.png,37.29
0223.png,9.42
0224.png,38.83
0225.png,22.65
0226.png,7.99
0227.png,32.32
0228.png,18.12
0229.png,14.33
0230.png,39.48
0231.png,41.47
0232.png,19.63
0233.png,40.49
0234.png,33.14
0235.png,28.53
0236.png,14.28
0237.png,5.93
0238.png,32.09
0239.png,30.41
0240.png,23.15
0241.png,44.76
0242.png,19.76
0243.png,45.96
0244.png,29.66
0245.png,32.89
0246.png,23.13
0247.png,27.42
0248.png,35.08
0249.png,16.34
0250.png,20.29
0251.png,39.25
0252.png,17.26
0253.png,29.27
0254.png,33.19
0255.png,24.12
0256.png,6.5
0257.png,25.59
0258.png,10.36
0259.png,38.93
0260.png,5.37
0261.png,48.68
0262.png,14.68
0263.png,22.53
0264.png,18.52
0265.png,29.63
0266.png,16.97
0267.png,48.29
0268.png,26.92
0269.png,8.53
0270.png,41.97
0271.png,31.86
0272.png,13.64
0273.png,40.05
0274.png,47.02
0275.png,20.33
0276.png,26.81
0277.png,22.05
0278.png,6.76
0279.png,24.19
0280.png,38.12
0281.png,15.16
0282.png,48.73
0283.png,48.27
0284.png,47.03
0285.png,6.6
0286.png,31.66
0287.png,42.52
0288.png,42.83
0289.png,6.07
0290.png,38.65
0291.png,40.15
0292.png,24.77
0293.png,33.92
0294.png,47.3
0295.png,24.29
0296.png,42.83
0297.png,30.11
0298.png,27.12
0299.png,5.27
0300.png,41.49
0301.png,35.71
0302.png,28.69
0303.png,40.88
0304.png,7.55
0305.png,22.72
0306.png,46.63
0307.png,7.41
0308.png,15.26
0309.png,44.61
0310.png,13.3
0311.png,49.7
0312.png,48.5
0313.png,15.3
0314.png,39.48
0315.png,34.6
0316.png,11.27
0317.png,31.56
0318.png,24.16
0319.png,5.29
0320.png,42.03
0321.png,26.93
0322.png,22.86
0323.png,47.2
0324.png,18.4
0325.png,33.18
0326.png,16.67
